        1.0002        6.4235        0.0075
        1.0339        6.3778        0.0062
        2.0561        6.1929        0.0163
        2.0827        6.2124        0.0120
        3.0345        6.4116        0.0088
        3.0403        6.4130        0.0180
        3.0727        6.4187        0.0104
        5.9988        6.4384        0.0109
        7.0655        6.2366        0.0182
        7.0662        6.2212        0.0068
        9.9877        6.2208        0.0181
       10.0372        6.1949        0.0201
       10.0709        6.2330        0.0194
       11.0026        6.4112        0.0086
       11.0032        6.4370        0.0047
       12.0561        6.2632        0.0021
       13.0636        6.2849        0.0122
       14.0512        6.4179        0.0115
       15.0237        6.2342        0.0158
       15.9662        6.3773        0.0131
       16.0081        6.3730        0.0011
       17.0227        6.3795        0.0198
       17.0299        6.3589        0.0167
       18.9826        6.4125        0.0078
       18.9875        6.3996        0.0071
       19.9510        6.2586        0.0093
       20.9975        6.3018        0.0054
       21.9998        6.4022        0.0018
       24.0157        6.3935        0.0143
       24.9703        6.3353        0.0133
       25.0089        6.3399        0.0020
       25.9526        6.2688        0.0105
       27.0029        6.4526        0.0178
       28.9246        6.3370        0.0085
       30.9231        6.2090        0.0208
       32.9111        6.3233        0.0140
       32.9460        6.2987        0.0049
       34.9979        6.3838        0.0184
       36.9512        6.3488        0.0016
       37.9556        6.3715        0.0140
       37.9881        6.3558        0.0067
       38.9706        6.2185        0.0056
       39.9242        6.3870        0.0163
       39.9679        6.4317        0.0101
       42.9676        6.3955        0.0070
       44.8940        6.3689        0.0115
       45.8782        6.3643        0.0036
       45.9188        6.3250        0.0029
       48.9021        6.2951        0.0148
       49.8652        6.3134        0.0091
       49.9542        6.3320        0.0091
       50.9365        6.4028        0.0108
       51.8728        6.2210        0.0158
       56.8461        6.2884        0.0183
       56.9192        6.2455        0.0080
       57.9058        6.3240        0.0177
       57.9133        6.3617        0.0086
       57.9178        6.3447        0.0078
       58.8556        6.3977        0.0052
       59.8457        6.2437        0.0027
       59.9130        6.2169        0.0062
       63.8580        6.4001        0.0147
       63.8652        6.4159        0.0082
       63.8775        6.4376        0.0041
       66.8763        6.4057        0.0154
       67.8330        6.2211        0.0020
       67.8413        6.2758        0.0027
       67.8707        6.2528        0.0036
       67.8982        6.2206        0.0068
       69.8230        6.3102        0.0125
       69.8770        6.2705        0.0154
       70.8880        6.2834        0.0023
       71.8345        6.4151        0.0152
       71.8414        6.4418        0.0164
       71.8427        6.4388        0.0039
       71.8539        6.4279        0.0159
       72.8433        6.2128        0.0124
       73.8822        6.3864        0.0111
       74.8253        6.3629        0.0066
       74.8451        6.3443        0.0108
       76.8609        6.4160        0.0107
       79.8192        6.4224        0.0079
       81.7889        6.3980        0.0196
       81.8310        6.4211        0.0172
       81.8344        6.3994        0.0177
       81.8628        6.3997        0.0022
       82.7816        6.3113        0.0203
       82.8556        6.3100        0.0056
       83.8336        6.2436        0.0025
       83.8501        6.2361        0.0161
       84.8454        6.4300        0.0110
       85.7854        6.2799        0.0191
       86.8607        6.3554        0.0141
       89.7577        6.4001        0.0074
       92.7794        6.4333        0.0091
       94.7599        6.3369        0.0189
       94.7726        6.3447        0.0127
       95.8272        6.3599        0.0167
       96.7404        6.2087        0.0096
       97.7914        6.4391        0.0060
